title,lyrics
Фред,"Чистил Фред колодец свой,
И под мутною водой
В платье девичьем скелет
Обнаружил Фред.
И зачем-то, вот вопрос,
В дом к себе его отнёс.
Утром беды начались -
Ноги отнялись.

Бедный Фред от горя
Помешался вскоре,
Стал свою находку
Называть судьбою.

- Быть хочу всегда с тобой!
Представлять тебя живой,
Неземную красоту
Вижу пред собой я, как в бреду.

Помер с голоду бы Фред,
Если б  не его сосед,
Приносить ему еду
Посылал жену.
А жена и говорит;
- «Пред скелетом Фред сидит,
С ним общается, дурной,
Будто он живой.

А потом и вовсе
Спрятал эти кости,
Чтоб я не глядела,
Вот такое дело!»

- Живы будем, не помрём,
Славно смотримся вдвоём
Неземную красоту
Вижу пред собой я, как в бреду.

От любви безумной,
Каждой ночью лунной
Мёртвая вставала,
Плотью обрастала.

- Быть хочу всегда с тобой!
Представлять тебя живой,
Верь мне, верь мне, верь мне, верь!
Стоит твоя жизнь моих потерь!  "
Санта Клаус,"За окном всё будто в сказке;
Ночь, сугробы и мороз.
Кот у печки щурит глазки,
Что же Санта нам принёс?

Только пахнет как-то скверно
Из холщёвого мешка,
Щиплет нос неимоверно
От превратного душка,
Дедушка,
Пьян, наверно!

На пороге Санта Клаус!
Вечный символ рождества!
Пусть навеки сгинет хаос,
Люди просят волшебства!

Он рычит и зубы скалит - 
Хам в костюме добряка.
И подарки нам не дарит,
Скажем дедушке: «ПОКА!»

Только Санта не уходит,
Злобно на людей глядит.
Хищно он глазами водит,
На кого он так сердит?
Что за вид?
Аж сердце сводит!

На пороге Санта Клаус!
Вечный символ рождества!
Пусть навеки сгинет хаос,
Люди просят волшебства!

Утром кончились петарды,
Мы узнали из газет -
Упыря в костюме Санты
Застрелил интеллигент!"
Кода,"Во мрак погружён
Туманный Альбион
Мертвецкий покой,
Луна над рекой.

Но в полночь опять
Вдруг стала звучать
Соната тоски
Так непрерывно.

А когда посёлок спит,
Скрипка с кладбища звучит.

Открыт каменный склеп
Стар, глух сторож и слеп,
А все думают он
Скрипкой так увлечён.

До того как придёт заря,
Тешит старый себя.

Закончит игру
Скрипач лишь к утру,
А ночь подойдёт,
Снова начнёт.

Завоют ветра,
Мелодия та 
По грешной земле
Вдруг пронесётся.

Открыт каменный склеп
Стар, глух сторож и слеп,
А все думают он
Скрипкой так увлечён.

И сам сторож не знал того,
Кто сосед у него.

Жил один музыкант,
Он на скрипке играл.
Был в нём редкий талант,
Что народ восхищал.

И на сцене всегда
Умереть он мечтал,
Когда смерть увидал,
Коду не доиграл.

Эту коду высек кто-то на его надгробной плите
И маэстро год от года всё играл мелодии те."
Невидимка,"Гадкий заговор в суде, какая прелесть!
Над учёным издеваться могут все!
Мне приписывали всяческую ересь
И судья - злодей сидел во всей красе.

Недоумки! Как же были вы не правы,
В адрес мой кидая этот лживый бред!
А ведь я бы мог большой добиться славы,
Если б дали завершить эксперимент.

Выбора мне судья
Не оставил.
Над собой эксперимент
В ту роковую я
Ночь поставил.
И исчез в один момент.

Снова невидимка где-то здесь - 
Он смотрит в Ваши лица.
В лютом гневе растворился весь
И от него не скрыться,
Гаснет свет, и вам покоя нет.

Чёрную мантию
Снова вижу,
Закипает всё внутри.
Как её не люблю,
И ненавижу
Облик главного судьи.

Снова невидимка где-то здесь - 
Он смотрит в Ваши лица.
В лютом гневе растворился весь,
И от него не скрыться,
Гаснет свет, и вам покоя нет.

Их обвинения - всё это липа!
Алчных, грязных умишек игра.
Но доберусь я до каждого типа,
Праведной мести настала пора!

Нет законов больше для меня
Отныне и навечно.
Что теперь вы можете, судья?
Да ничего, конечно."
A.M.T.V.,"Американское MTV

Открыл глаза, 
Поставил чайник,
Кипит вода,
Не сплю ночами.
Открыл окно,
Аптека, скверик,
Все как обычно, 
включил я телик.

Здравствуй Америка - MTV, 
В городе гаснут ночные огни,
В моем телевизоре - MTV
Режет глаза мои RNB.

Сука, заскулила,
С кошкой чего-то не поделила,
Мы живем здесь уйму лет,
Жучка, я, да черный кот,
Нас троих окутал свет
Теле-радио частот.

Американского MTV,
В городе гаснут ночные огни,
В моем телевизоре снова они,
Нервы ржавеют русской души.
Сука заскулила,
С кошкой чего-то не поделила.

Ты почто котяра злой, 
Да собачке в глазик коготь свой,
Ей же больно, как и мне,
Видеть, что в моей стране, 
Видеть мне
БОЛЬНО!!!

Припев: Американское MTV,
В городе гаснут ночные огни,
В моем телевизоре, снова они,
Режет глаза мои RNB.  "
Ходит Зомби,"Колдунье старой надоел один пьянчуга,
Что у забора её бродит день-деньской.
И чем понравилась ему её лачуга?
На спирт позарился умишко воровской.Нагонит страху, а ему что в лоб, что по лбу!
И тут задумала старуха хитрый план:
С какой-то дрянью она выставила колбу,
На видном месте, чтоб заметил тот болван.

Ночная мгла - 
не видно ни зги.
Но где-то там, 
живые мозги!
Точно чую - 
Там они есть!
Ведь я хочу
ужасно есть!

Уморить
Старуха хотела
Это вечно
Пьяное тело,
Но он Богу
Тоже не нужен,
Ужин ищет мертвец.

Он христианин?
Это враньё!
Над ним опять
Кружит вороньё!
Глядите как
Мертвецки он пьян!
Гад начинает
Кусать селян!

Уморить
Старуха хотела
Это вечно
Пьяное тело,
Но он Богу
Тоже не нужен
Ужин ищет мертвец."
Смешной Пистолет,"В шалостях свой имею почерк,
Да, я бессовестный такой!
Этот прелестнейший цветочек
Сорван был опытной рукой.

- Полно, Элизабет, чёрт побери!
Я Вам признавался в любви
Не ради вашей руки,
А только лишь из-за пари.

Снова мой очередной
Выпад ищет цель!
Смех да слёзы от моих затей.
Вам, сударыня со мной
Будет веселей!
Так давайте спляшем же скорей!
Хей! Хей! Хей!
А трактирщик, пива нам налей!

Хоть Вы и ценная находка,
Но мне не нужно ничего.
И я для Вас, моя красотка,
Призрак, не более того.

Я обесчестил Вас? Истинный бред!
Опомнитесь, Элизабет!
Вам же понравилось всё!
Не говорите что нет!

Снова мой очередной
Выпад ищет цель!
Смех да слёзы от моих затей.
Вам, сударыня, со мной
Будет веселей!
Так давайте, спляшем же скорей!
Хей! Хей! Хей!
А трактирщик, пива нам налей!

Да! Мне важней, чем Вы - это пари!
Сочувствую, но «се ля ви!» 
Что в вашей руке за предмет?
Дамский смешной пистолет!"
Вестник,"Сказал он:
Эта тварь приходит ночью
Ровно в три от церкви у холма.
Но я ведь не сошёл ещё с ума,
Не верю в то, что не видал я сам.

Конечно, я подумал - это шутка,
Наверное, одна из тех примет,
Что у людей в течении многих лет
Держали ум во власти предрассудка.

Зажёг я лампу,
Шёл уж третий час,
И в небо поднялось созвездие Льва,
А пламя теплилось уже едва,
Вот три пробило, и огонь погас.

Конечно, я подумал - это шутка
Наверное, одна из тех примет,
Что у людей в течении многих лет
Держали ум во власти предрассудка.

И кто-то осторожно стукнул в дверь,
Весь ужас правды понял я теперь.  "
Клеймённый Огнём,"До последних мгновений
Будет нить сожалений
Жить в гибнущем сердце
О горькой любви.

К ней тянулся, как к свету,
Молился на женщину эту,
Но канули в лету
Те добрые дни.

Боль моя 
Всё сильней!
Вновь я 
Во власти теней,
Будет страсть 
Жить во мне,
В час, когда
На смертном одре
Расстанусь со своим проклятьем на земле.

Что-то шепчут осины
Там, где ныне руины,
Но стены всё помнят,
Как пылали они.

И с тех пор, к сожаленью,
Стал я призрачной тенью,
И влюблённое сердце
Каменеет внутри.

Боль моя 
Всё сильней!
Вновь я 
Во власти теней,
Будет страсть 
Жить во мне,
В час когда,
На смертном одре
Расстанусь со своим проклятьем на земле.

И пленённые чувства
Порождают безумство,
К своей жертве бесстыже
Подбираюсь всё ближе.

Скрываясь от луны,
У каменной стены
Во мраке я стою,
В её окно смотрю.

Свой приближая смертный час,
Рассудок болью истязая,
Не видя в зеркале гримас,
Лишь отпечаток смерти зная,

Усугубляя муку, вновь
Спирт с кровью смешивая в жилах,
Несчастный лорд свою любовь 
Оставить, позабыть не в силах.

Создание нежное не знает,
Что доживая тяжкий век, 
За ней всё время наблюдает
Огнём клеймённый человек."
Тринадцатая Рана,"П'ятий у см', прзвисько Махно.
Не да заснути, мй турбу сон.
Хитрий як лиса, скльки душ згубив?
Мало не вмивався кров'ю ворогв.
Бльшовик - дурак, - я в лице смюсь,
На чотири сторони Богу не молюсь.

Знаш, двадцять ран в тл не болять,
Лиш болить тринадцята, що в серц у мене.
Вд бльшовикв золото сховав,
Нищим емрантом у Франц вмирав.
Воля або смерть, мать-анархя,
Чорний колр прапору - то моя земля!

У ""Гуляй Полi"" подешевiло життя
Вбивати легше, нiж боятися смертi
Вон один, боялись його наче Сатани!
Зрада червоних, розбите вiйсько,
Дворова змiя показу хвiст,
Латинськi букви, арабськi цифри
Могили номер - шicть-шicть-вiсiм-шicть!

На чотири сторони Богу не молюсь!"
Суфлёр,"К искусству зрители порой бывают строги!
Уж лучше Вам свои запомнить монологи,
Подсказкам чьим-то слепо доверять
Не стоит, Вас ведь могут засмеять.Коль держится Ваш образ на суфлёре,
То как бы не завраться поневоле,
И как бы Вас в итоге зал не освистал,
И как бы Вами тот суфлёр в конце не стал.

Выходки пьяного суфлёра
Надо немедленно пресечь!
Подло унизил он актёра,
Иную нашёптывая речь.

Он из людей решил
Сделать ослов.
В Гамлете нет таких слов!
В шею гоните лгуна!
Он хулиганьё и шпана.

То ли глуп, то ли хитёр,
Интриган - актёр!
Людям врёт, и глазом не моргнёт.
Что со сцены он несёт - 
Просто анекдот!
Монолог он ложный выдаёт,
Много на себя берёт!
Кто, скажите, рот ему заткнёт?!

Хохотом разразился диким
Вдруг из-под сцены злобный шут.
Тешился тем, что над великим
Зрители тоже нагло ржут.

Злился актёр:  «Друзья,
Так же нельзя!
Ложный сюжет - размазня!
Вы не вините меня,
Это придумал не я!»

То ли глуп, то ли хитёр
Интриган - актёр!
Людям врёт и глазом не моргнёт.
Что со сцены он несёт - 
Просто анекдот!
Монолог он ложный выдаёт,
Много на себя берёт!
Кто, скажите, рот ему заткнёт?!

Стала людям известна потом
Ужасная правда о том -
Актёр от суфлёра устал
И в будку скотине на...!  "
Послание,"Театра дух актёром правит.
Он создан множеством ролей.
Внушив бессмертие, прославит,
И свергнет в Царствие Теней!  "
Театральный демон,"«Бог дал - демон взял»

В себе свято хранит
Театра стен гранит
Великих судеб
Единый путь.
И как ветра порыв,
Людских эмоций взрыв
Питает их - 
Детей моих.

Припев:
Вся жизнь - словно миг,
Ты многолик!
Пока со мной ты здесь, пока ты рядом...

Повелитель кукол жив,
Корни пустив,
В магическом искусства алтаре,
Рад всему вполне.

Несете свой талант,
А я ваш секундант:
Азартный бой - 
Дуэль с собой.
До капли выжму вас.
И даже в смертный час, 
Отринув боль - 
Примите роль!

Припев:
Вся жизнь - словно миг,
Ты многолик!
Пока со мной ты здесь, пока ты рядом...

Повелитель кукол жив,
Корни пустив,
В магическом искусства алтаре,
Рад всему вполне.

Я управляю ритмами сердец!
Я управляю ритмами сердец!
Я управляю ритмами сердец!
Я управляю ритмами сердец!  "
Киногерой,"Словно на душу взял грех,
Снявшись не в своей манере,
Роковым клеймом в карьере
Неугодный стал успех.

Все надежды тают,
В бездну путь ведет;
Я не тот, кем все меня считают - 
Я отнюдь не тот.

Королем скандала
Назван мой герой.
В людях ненависть ко мне рождала
Негодяя роль.

Припев:
Я всюду! 
Я всюду!
Городские улицы в плену,
От афиш не скрыться никому -
Нет покоя сердцу моему.

Что не убивает - 
Делает сильней!
Если же судьба со мной играет -
Я играю с ней.

Как назло, при этом, 
Образ стал тюрьмой.
Проще негодяем быть отпетым,
Чем самим собой.

Припев:
Я всюду! 
Я всюду!
Городские улицы в плену,
От афиш не скрыться никому!
Помешательство людское - 
Нет покоя сердцу моему.

Не смотрите фильм - 
Заклинаю вас!
Но все больше глаз
Ждут киносеанс.

Что сделала со мною моя слава?!
Изгой, плененный ужасом других!
Аншлаги всюду, но не слышно - «Браво!»
Зловещ мой лик на стендах городских.  "
Фокусник,"Пролетели дни,
Фокусы мои,
Странные для всех,
Обрели успех.

И немало лет,
Свой храня секрет,
Драматичный я 
Предложил сюжет.

Припев:
Что ж, фокусы - ложь,
Взрослые знают умы.
Все же, для них
Тайны мои 
Необъяснимы.
Просят они:
«Нас обмани!
Чудо хотим видеть мы!»
Выхожу из тьмы.

Но в один момент
Ужаснется свет,
Лишь узнав о том,
Что подвохов нет.

Припев:
Что ж, фокусы - ложь,
Взрослые знают умы.
Все же, для них
Тайны мои
Необъяснимы.
Просят они:
«Нас обмани!
Чудо хотим видеть мы!»
Выхожу из тьмы.

Разгадки фокусов, увы, весьма банальны:
Мушкеты с порохом - и смерти все реальны!  "
Танец злобного гения,"В стихах и прозе гениального поэта
Был доминантой  человеческий порок.
Обрел он сущность, не обычную посмертно - 
Жить в старых книгах и скитаться между строк.

Проныра, озорник,
Любитель книг,
Ловкач, игрок,
Жизнь между строк.
И потому
Открыт ему
Незримый путь
В любую суть.

Припев:
Танец злобного гения
На страницах произведения.
Это - игра, без сомнения,
Обреченный ждет поражения!

Подсыпать в душу яд
Всегда он рад.
Всего за час
Прочтет он вас.
Он волен взять
И поменять
Строку и с ней
Смысл темы всей.

Припев:
Танец злобного гения
На страницах произведения.
Это - игра, без сомнения,
Обреченный ждет поражения!

Открыт роман,
Читатель пьян,
Разлив вино - 
Шагнул в окно.

Припев:
Танец злобного гения
На страницах произведения.
Это - игра, без сомнения,
Обреченный ждет поражения!  "
Энди Кауфман,"Этот парень - отраженье
Тех глупостей, что мы годами копили в себе.
Зритель просит продолженья.
В последнее время его обсуждают везде:

Мол, Энди Кауфман раздвоиться может,
Начало шоу своему положит - 
На всех положит!
Дай жару!

Припев:
Эй, поверь, что твой успех - не сон.
Зал с тобой смеется в унисон.
В том, что ты для многих - человек с Луны,
Лишь часть твоей игры.

И опять в своей манере
Он, стереотипы ломая, шокирует зал.
Да! Он лучший в этой сфере!
Весьма необычный сценический образ создал;

Ведь Энди Кауфман - знатный провокатор.
Смеется шут, и злится консерватор.

Припев:
Эй, поверь, что твой успех - не сон.
Зал с тобой смеется в унисон.
В том, что ты для многих - человек с Луны,
Часть игры, часть твоей игры.  "
Мадам Жоржетт,"Финал ее танца запомнится всем,
Принесший нам много ненужных проблем.
Поклонников лучших лишилась она - 
Арест после пятой бутылки вина.

Припев:
Как вы могли поступить так, мадам -
Товарищей верных продать палачам?!

Прекрасен менуэт!
Предательски красив ваш силуэт, мадам Жоржет!

Что вас тревожит, подруга, сейчас?
Неужто вы вспомнили снова о нас?
Вас завербовали, и вы потеряли
Друзей. Ваша жизнь, словно грустный романс.

И никогда не увидим мы вас,
Завтра последний выход у нас.
Яма глубокая ждет во дворе.
До одного всех поставят к стене.

Прекрасен менуэт!
Предательски красив ваш силуэт, мадам Жоржет!

Танцуй!

Трех офицеров вели на расстрел,
С ними и наших - под револьвер!
Выстрел печальный, не дрогнул прицел,
Но, умирая, один прохрипел:
«Прекрасен менуэт!
Предательски красив ваш силуэт, мадам Жоржет!»  "
Бунтарь,"Авантюрист,
Прирожденный артист
И убежденный
Поэт - анархист,

Он для толпы
Вдохновителем был,
В жизни с пути
Своего не сходил.

Не врал себе сроду,
И думал он так:
«Люблю я свободу,
Система - мой враг!»

Нет жизни от
Произвола властей,
И от чиновников
Разных мастей!
Лишь нить везения
Оборвалась - 
На анархиста
Управа нашлась.

Припев:
В четырех стенах очень просто заблудиться,
Замедляя жизни бег.
Не поймет его правды мрачная больница,
Он для них не человек.

С привычным мне миром
Разорвана связь.
Смотрю в эти лица
И чувствую грязь.

С системой я биться
Готовлюсь, смеясь,
С безумием слиться, 
Уже не боясь.

Жизнь теряет свой смысл,
Всюду замкнутый круг:
Безнадега, фигуры
В халатах вокруг.

Как ломаются люди
Видали они.
Были тут и мыслители
И бунтари.

Припев:
В четырех стенах очень просто заблудиться,
Замедляя жизни бег.
Не поймет его правды мрачная больница,
Он для них не человек.

В одной я палате с душевнобольными.
Я их понимаю, я сблизился с ними.
Хочу революцию сделать в больнице,
Но как оживить обреченные лица?!
Увязло во времени мертвое царство.
Я духом борьбы наполняю пространство,
Но каждую ночь мне становится жутко
От мысли, что можно лишиться рассудка.

Протест - объективен, успех наш - возможен,
И каждый, кто травит нас - будет низложен.
И те, кто всегда отдают здесь приказы,
Безумны не меньше - заметил я сразу.
Бросаю я вызов всей этой напасти,
Лелеющей факт своей мелочной власти!
Бросаю я вызов всей этой напасти,
Лелеющей факт своей мелочной власти!  "
Тёмный Учитель,"Не по закону власть дана!
Как представитель темной расы,
Творил он грязные дела
Со злобной в сумраке гримасой.Уподобляясь тем, кто был
Бичом судьбы его несчастной,
Он так же кровь чужую пил,
Себя утратив в жажде страстной.Сверкают алые зрачки,
И люди - как мишени в тире.
Не понимают новички,
Что они - твари в этом мире.Внушая смертным лишь кошмар,
К манерам склонны непристойным,
Передают великий дар
Лишь в высшей мере недостойным.

Той жизни не помню, все как во мгле,
И это порою нравится мне.
Отныне изгоем быть не с руки,
Повсюду со мною ученики.

И если мой опыт
Кому-то поможет,
То день не зря будет прожит.

Припев:
Сейчас все неплохо - другая эпоха,
И древнего рода менялась природа,
Лишь вид небосвода столетиям не изменить!

Великих вампиров время прошло,
Но алое солнце снова взошло.
Предатель не пойман! И всякий сброд
Порочит достойный древний наш род.

Теперь каждый малый
Клыками стращает,
В тайну других посвящает.

Всем предстоит вас,
Друзья, понять:
Путь зрячих - Людям жить давать,
Участь слепых - убивать!  "
Король Вечного Сна,"- Прием! Я - гром, -
Сквозь сон шепчет Матвей,
Связь есть - стало теплей!
«Держись!» - радио воет.
Матвей в рацию стонет,
От холода в сон его клонит.
Полярник в беде, замерзший в воде:
- Ребята, я в Черном Дворце!

«Дом мой - покой!» - 
Бог сна, вечная тьма,
Костюм шьет изо льда.
Он шьет смокинги смерти,
Френч зла и сапоги.
Творит, но не за деньги,
Великий портной коварной рукой.
Шито все черной иглой.

- Привет!
- Где свет?
- Ты спишь, мертвый Матвей,
А я - Морфей!
Твой сон - воля моя!
Мой мир - все для тебя!
Прими, это судьба!
Король вечного сна.
«Я жив!» - сердце кричит, -
«Мое тело молчит!»
Матвей в коме лежит.
Полярник в беде, замерзший в воде!
Тебе смокинги смерти,
Френч зла и сапоги.
Творит, но не за деньги,
Великий портной коварной рукой.
Шито все черной иглой.

Король вечного сна...
Король вечного сна...
Король вечного сна...
Король вечного сна...  "
Бал Лицемеров,"Я снова пьян, 
Но пьян не от вина,
А от веселья я
Пьян.

И хоть я сам
Отнюдь не без изъяна -
Тут совсем беда - да!

В том беда,
Что сюда

Приходят те, 
Кому под масками всегда скрывать что есть,
Есть.
Приходят те,
Кто хочет, чтобы как вода лилась в их честь
Лесть.

Знаю я,
В чем цель моя!

Где начало шоу, где конец?
Лицемерием пестрит дворец!
Не имея никаких границ
Вереницей вьется серость лиц.

Припев:
Сквозь смешные маски изучаю я народ:
Вокруг одни придворные и знать.
Звезды маскарадов заслоняют небосвод,
Польстить им, словно нищим грош подать.

Шута наряд 
Надеть всегда я рад - 
Торжественный обряд
Свят.
Глупцов парад.
Позеров ищет взгляд,
Держитесь, господа - 
Вам мат!

Знаю я, 
В чем цель моя.

А теперь взгляните на других:
Чем, скажите, я смешнее их?
Если маску снять с любого тут - 
Станет ясно, кто из нас здесь шут.

Припев:
Сквозь смешные маски изучаю я народ:
Вокруг одни придворные и знать.
Звезды маскарадов заслоняют небосвод,
Польстить им, словно нищим грош подать.  "
Защитники,"Тихо шумит листва.
Ночь, будет опять гроза.
Алым светом небеса
Ослепят глаза, глядя в облака.
Кистью из огня
Оживит искра в небе образ 
Красного всадника.

Всадник помчится стрелой,
Горы он разобьет рукой.
В недрах огненной долины
Ждет его она, как всегда одна,
Женщина - лавина;
Косы из огня и глаза
Сверкают как гроза.

У огромного костра
До краев она им нальет вина,
Зачарованы,
Будут песни петь до утра
Дети огня.

А когда придет любовь,
То спалит дотла все вокруг дома
Огненная кровь.
И горят сердца. А в небе снова 
Будет гроза!

Скоро кончится дождь...  "
Добрые Люди (Хор нищих),"I. ДОБРЫЕ ЛЮДИ (ХОР НИЩИХ)

ХОР НИЩИХ:

Наш бренный мир задуман Им
Как царство света и покоя.
Наш мир и должен быть таким,
Но где вы видели такое?

Любому в душу наплюют,
Не пощадив заслуг и судеб,
Тут и ограбят, и убьют,
И оболгут, и обессудят.

Люди, добрые люди, 
Пусть наш мир добром, 
Добром прибудет!

Не подадут, не пощадят,
На гроб земли не бросят горсти,
Друг друга поедом едят,
Хрустя, обгладывают кости,

Своих детей едят отцы,
Творцы себя съедают сами.
По свету бродят мертвецы
С такими добрыми глазами.

Люди, добрые люди, 
Пусть наш мир добром, 
Добром прибудет!"
Баллада о Бедном Цирюльнике (Ария Бродяги),"II. БАЛЛАДА О БЕДНОМ ЦИРЮЛЬНИКЕ

БРОДЯГА:

Ужасней истории вы не найдете,
И нету баллады печальней на свете,
Чем эта  о бедном цирюльнике Тодде,
И юной прекрасной жене его Бетти.

С малюткою-дочкой и Бетти прекрасной
Жил в доме уютном цирюльник счастливый.
Но раз, возвращаясь домой после казни,
Красавицу встретил судья похотливый.

- Красавицу встретил судья похотливый.

Расчет у судьи был безжалостно-точный:
Он дело состряпал по ложным доносам
И вот, разлученный с женою и дочкой,
Был бедный цирюльник на каторгу сослан.

Мерзавец-судья домогался до Бетти,
Пока ее муж был закован в железе
И бросилась в реку она на рассвете,
И юное тело поплыло по Темзе.

- И юное тело поплыло по Темзе.

Печальней истории вы не найдете,
Ни в «Таймс», ни в другой ежедневной газете.
Чем эта  о бедном цирюльнике Тодде,
И юной прекрасной жене его Бетти.

- И юной прекрасной жене его Бетти.

- И юной прекрасной жене его Бетти.  "
Каторжник (Ария Тодда),"III. КАТОРЖНИК. Ария Тодда

До судорог, до бреда, до рыданья,
До порванных от напряженья жил,
Я сохранял свои воспоминанья,
Которыми все эти годы жил.

Я их хранил на сумрачной вершине,
Во тьме бездонной пропасти хранил,
На самом дне хрустального кувшина,
Как капли сохнущих чернил.

Тугой удавкой ворот
Сжимает горло мне-е-е
Мысли мои превращаются в змей...
Кровью памяти моей
обрызган город,

Кровью памяти моей,
Кровью памяти моей...

Когда ползешь, глотая клочья пыли,
Когда добра от зла не отличить,
Ты должен знать, что про тебя забыли,
И сделать все, чтоб самому забыть...

Но память, как и смерть, неистребима,
Как дождь ночной по черноте стекла
Кровавыми осколками рубина
Она на дно хрустальное текла.

Удавкою тугой
Сжимает горло ворот мне.
Мысли мои превращаются в змей...
Кровью памяти моей
обрызган город,

Кровью памяти моей,
Кровью памяти моей..."
Пирожки от Ловетт (Хор нищих и бродяг),"IV. ПИРОЖКИ ОТ ЛОВЕТТ. Хор нищих и бродяг

Пирожки от Ловетт!  Это знает весь Лондон.
Кто заходит сюда, не уходит голодным.
Хоть невкусное мясо, но стоит гроши.
И всегда тараканы отменно свежи.

Пирожки от Ловетт,  
Пирожки от Ловетт,

Самый дешевый в мире обед! 
Самый дешевый в мире обед!

Сюда заходят различные снобы...
Но зато джентльмены из нашей трущобы,
Подзаборные леди и сопливые дети -
С вожделеньем мечтают об этом обеде.

Пирожки от Ловетт,
Пирожки от Ловетт...

Смотрите, какой джентльмен благородный!
Не желаете есть - так ходите голодный!
Отбиваются запахи выпивкой крепкой,
А непьющие - нос затыкают прищепкой!

Пирожки от Ловетт,
Пирожки от Ловетт...

Нам претит запах модных кофеен.
Здесь простой и суровой Британией веет.
Мясо тухлых английских коров -
Это лучше вонючих французских сыров!

Пирожки от Ловетт...

Без таких пирожков и уик-энд не уик-энд... 
Если б я был поэтом?
Если б ты был поэт?
А впрочем?
Я бы оды писал пирожкам от Ловетт."
Праздник Крови (Ария Судьи),"V. ПРАЗДНИК КРОВИ. Ария Судьи  

ХОР:

Все сюда! -
Кто хочет справедливого законного суда!
Скорее сюда!
Да - сюда, сюда, сюда!

СУДЬЯ:

Нет добра -
Без петли и топора!
Справедливость торжествует,
Сегодня больше, чем вчера! 

НИЩИЙ:

Эй, палач, пора! 

СУДЬЯ:

Это настоящий праздник!
Казни, казни, казни, казни -
Все на свете серо, кроме
Крови, крови, крови, крови!
Крови!.. Крови! 

Мы казним жестоко,

Но справедлив приговор-вор-вор...
Зуб за зуб, за око око...
За всех решит топор!
Палача топор!

Мы накажем зло порока 
Зуб за зуб, за око око...  
Нету в мире платы, кроме

ХОР:

Крови, крови, крови, крови.
Кроме, кроме, кроме
Крови, крови, крови.
Праздник, праздник, праздник
Казни, казни, казни!"
Машина Смерти (Ария Ловетт и Мясника),"VI. МАШИНА СМЕРТИ. Ария Ловетт и Мясника 

МЯСНИК:

Новая эпоха! Век машин!
Он достиг невиданных вершин... 

ХОР: 

Технический прогресс! 

ЛОВЕТТ:

Ну-ка, ну-ка! Что это за штука?  

МЯСНИК:

Новая покупка! Это мясорубка! 

ХОР:

О, чудо из чудес! 

МЯСНИК и ХОР: 

Рубит мясо, режет жилы, мелет кость.
Вот такая вот производи-тель-ность...
Рубит!..
Режет!
Мелет!..

МЯСНИК:

Мы поставим агрегат на кухне! 

ЛОВЕТТ:

Толку мало, если мясо снова стухнет... 

ХОР:

Химический процесс! 

МЯСНИК: 

Наука и прогресс приносят капитал. 

ЛОВЕТТ:

Скорее агрегат мне разнесет подвал! 

ХОР: 

О, чудо из чудес! 

МЯСНИК и ХОР:

Рубит мясо, режет жилы, мелет кость.
Вот такая вот производи-тель-ность...
Рубит!..
Режет!
Мелет!.. 

ЛОВЕТТ:

Вы слышали? «Прогресс!?!» 
А мне крутить шарманку!
Тогда уж сразу к ней купите обезьянку! 

ХОР:

Какой безумный стресс! 

МЯСНИК:

Не перемелют десять мясорубок с мясником, 
Все то, что эта леди намолола языком! 

ХОР:

О, чудо из чудес!

МЯСНИК и ХОР: 

Рубит мясо, режет жилы, мелет кость.
Вот такая вот производи-тель-ность...
Рубит!..
Режет!
Мелет!.."
Смертный Приговор (Ария Тодда и Мясника),"VII. СМЕРТНЫЙ ПРИГОВОР. Ария Тодда и Мясника 

ТОДД:

Что ты вспомнишь перед тем,
Как покинешь этот мир совсем?
Может, хоть кого-то ты любил?
Или сам любимым был? 

Или помнят мясники
Лишь кровавые куски?
Или снятся палачам
Только жертвы по ночам? 

МЯСНИК: 

Что ты хочешь? Все возьми, что хочешь! 

ТОДД:

Что ты вспомнишь в смертный час?
Может, ты котенка в детстве спас? 

МЯСНИК:

У-мо-ля-ю...
Я не зна-ю...

ТОДД:

Или будешь вспоминать
Песенку, что пела на ночь мать? 

МЯСНИК:

Я не зна-ю...
Умоляю... 

ТОДД:

Или помнят мясники
Лишь кровавые куски?
Или снятся палачам
Только жертвы по ночам? 

МЯСНИК:

Ради Бога, все возьми, что хочешь!  

ТОДД:

Может, вспомнишь детский сон,
Где взлетаешь в небо, невесом? 

Или цвет любимых глаз
Ты припомнишь в свой последний час? 

МЯСНИК:

У-мо-ля-ю...
Я не зна-ю...

ТОДД:

Или помнят мясники
Лишь кровавые куски?
Или снятся палачам
Только жертвы по ночам?

МЯСНИК                                        ТОДД: 

Кроме жизни,              А вернешь ли
все возьми, что хочешь!   мне жену и дочку?"
